18,3571,this,DT,â€”,:,",",","
215,3571,this,DT,with,IN,.,.
268,3571,this,DT,behind,IN,door,NN
428,3571,this,DT,from,IN,comes,VBZ
703,3571,this,DT,of,IN,mirror,NN
739,3571,this,DT,.,.,work,NN
1267,3571,this,DT,was,VBD,replaced,VBN
1312,3571,this,DT,to,TO,passage,NN
1345,3571,this,DT,ore,JJR,.,.
1806,3571,this,DT,into,IN,undersea,NN
1963,3571,this,DT,beyond,IN,",",","
2334,3571,this,DT,in,IN,condition,NN
2480,3571,this,DT,",",",",is,VBZ
2551,3571,this,DT,",",",",conception,NN
2575,3571,this,DT,in,NNP,way,NN
2603,3571,this,DT,through,IN,means,VBZ
2618,3571,this,DT,",",",",development,NN
2746,3571,this,DT,/,NN,process,NN
2817,3571,this,DT,in,IN,the,DT
2842,3571,this,DT,",",",",relation,NN
3006,3571,this,DT,although,IN,mirror,NN
3030,3571,this,DT,always,RB,one,CD
3109,3571,this,DT,",",",",look,NN
3279,3571,this,DT,beyond,IN,stratum,NN
3408,3571,this,DT,by,IN,means,VBZ
